212 3
 0.984242 -0.175898 0.0215926
 0.854064  0.420114 -0.309472
 0.955102  0.266102 -0.130983
0.962093 -0.08414 0.259879
-0.864564 -0.214222 -0.453354
 -0.77833 -0.454686 -0.430496
-0.794374 -0.576534 -0.187221
-0.899004 -0.435729 0.0206987
-0.443717   -0.8403 -0.309132
-0.616401 -0.776144 -0.131431
-0.827911  -0.49623  0.259786
-0.111165  0.918262  0.381642
 0.223914  0.972586 0.0711469
0.601146 0.765913 0.232256
0.500115 0.583437 0.641314
0.0595077  0.678119  0.733998
  0.54196  0.808731 -0.231531
 0.400245  0.655659 -0.640406
0.626359 0.266465 -0.73292
 0.907268  0.177961 -0.380212
  0.855715   0.513219 -0.0703824
0.839105  0.38951 0.381738
 0.994546 0.0883045 0.0718347
0.914284 -0.33477 0.231812
 0.709023 -0.294194   0.64188
0.662607 0.153465 0.734151
0.256869 0.295271 0.921112
 0.359922 -0.152495   0.92056
-0.033498 -0.389378  0.920622
 -0.380247 -0.0875157   0.920529
-0.200644  0.335405  0.921282
-0.625496  0.266759  0.733486
-0.907152  0.178333  0.381955
-0.854593  0.513118 0.0713562
-0.541189  0.808375  0.232309
-0.399196  0.655851  0.641739
-0.600824   0.76531 -0.231338
-0.498975  0.583408 -0.640366
-0.0590787   0.677357  -0.733222
 0.111869  0.917951 -0.380441
 -0.223234   0.972187 -0.0703346
0.0365284  -0.97119 -0.231076
0.0622203 -0.764166 -0.640964
-0.349319 -0.582034 -0.732959
-0.629382 -0.676691 -0.380666
 -0.389908  -0.917719 -0.0705538
 -0.83752  0.389852 -0.380856
 -0.993146  0.0886909 -0.0707912
-0.913139 -0.334657  -0.23062
-0.707634 -0.294752 -0.640912
-0.662238  0.153231 -0.733296
-0.746152 -0.177733  0.641824
-0.445736 -0.512444  0.733783
-0.448771 -0.807298  0.382057
 -0.75138 -0.654333 0.0716964
 -0.93542 -0.264851  0.232166
 0.350274 -0.582216  0.733911
 0.629838 -0.676892  0.381268
 0.391101 -0.917312 0.0712863
-0.0362984  -0.971923   0.232362
-0.0610718  -0.764411   0.641846
  0.752382  -0.654458 -0.0707329
 0.936191 -0.265705   -0.2311
 0.746902 -0.177043 -0.640491
 0.446108 -0.512601 -0.732791
  0.44991 -0.807688 -0.380222
-0.256283  0.295803   -0.9195
-0.359634 -0.152099 -0.920382
0.0343924 -0.389091 -0.919937
  0.381672 -0.0871132   -0.91972
 0.201661  0.335831 -0.919814
0.276439 0.850692 0.447367
 0.724374  0.525793 -0.446694
   0.895356 0.000220516    0.447418
8.89927e-05 0.000699691     1.00071
-0.723112  0.525993  0.447925
-0.276015  0.850851 -0.446981
-0.275957 -0.850181 -0.446352
   -0.89345 0.000444519   -0.447179
-0.723083 -0.525699  0.447967
 0.276985 -0.849828  0.447543
 0.723839 -0.525195 -0.446783
0.000403581 0.000987325   -0.999033
